# t_sec   Poft_Rzmin  Poft_Rzmax
4.671619999999999884e+00 3.317215857987955467e-08 7.762651016497126704e-08
4.701850000000000307e+00 3.345322975203832007e-08 7.822817838838521429e-08
4.732280000000000264e+00 3.353481269280240407e-08 7.853794851202643520e-08
4.762900000000000134e+00 3.362325435574171894e-08 7.884677696884276945e-08
4.793720000000000425e+00 3.382258061029733305e-08 7.936298672271394426e-08
4.824729999999999741e+00 3.391983205178205034e-08 7.969431949441746366e-08
4.855949999999999989e+00 3.404880155906949424e-08 7.994317910423594469e-08
4.887369999999999770e+00 3.424345803493289413e-08 8.034966957651154020e-08
4.918999999999999595e+00 3.447379795572083982e-08 8.090589495048707249e-08
4.950829999999999842e+00 3.467312488290290859e-08 8.134944218771347085e-08
4.982859999999999623e+00 3.483273343701249034e-08 8.154760315523776565e-08
5.015109999999999957e+00 3.496741874614524076e-08 8.158936534668317785e-08
5.047559999999999825e+00 3.510934327483198977e-08 8.168746025467008718e-08
5.080219999999999736e+00 3.525086505575614471e-08 8.178279650606205746e-08
5.113089999999999691e+00 3.524512500078046055e-08 8.188392488122630031e-08
5.146180000000000199e+00 3.537433024156863722e-08 8.226929691901703187e-08
5.179470000000000240e+00 3.531494409419627513e-08 8.251639883963176890e-08
5.212989999999999569e+00 3.523047708527994053e-08 8.265691165387800739e-08
5.246719999999999828e+00 3.548740456071967954e-08 8.314805566994712946e-08
5.280669999999999753e+00 3.566878736985089625e-08 8.347745262620984207e-08
5.314840000000000231e+00 3.577532777649018663e-08 8.296829082293612912e-08
5.349230000000000373e+00 3.589234321560456201e-08 8.263299556251458480e-08
5.383840000000000181e+00 3.605833593763666879e-08 8.270462492411306226e-08
5.418680000000000163e+00 3.626126704325658824e-08 8.285907989875845319e-08
5.453739999999999810e+00 3.646227226308367535e-08 8.328652424427932938e-08
5.489029999999999632e+00 3.662970763047162369e-08 8.369354717171478672e-08
5.524549999999999628e+00 3.681452945533108524e-08 8.415538150745761789e-08
5.560299999999999798e+00 3.702135408249882344e-08 8.452868352108031288e-08
5.596280000000000143e+00 3.724895929030032809e-08 8.500515852089334323e-08
5.632489999999999775e+00 3.740059202876412799e-08 8.519660129503017857e-08
5.668929999999999580e+00 3.755828742519168647e-08 8.518799280161107577e-08
5.705619999999999692e+00 3.775214221073448344e-08 8.555213500133443165e-08
5.742530000000000356e+00 3.795260167836936879e-08 8.601470251847270240e-08
5.779690000000000438e+00 3.817732716521756155e-08 8.655277658083963741e-08
5.817090000000000316e+00 3.838399538413018590e-08 8.680388108127534516e-08
5.854729999999999990e+00 3.849221581176732330e-08 8.700031491613401322e-08
5.892619999999999969e+00 3.867418841814234054e-08 8.759447073256983251e-08
5.930740000000000123e+00 3.884286469248423764e-08 8.795595030429587248e-08
5.969120000000000203e+00 3.891099517239603859e-08 8.783985799436695179e-08
6.007740000000000080e+00 3.913516490349568578e-08 8.786625289823382744e-08
6.046619999999999884e+00 3.921916182268070076e-08 8.793373811685724872e-08
6.085740000000000371e+00 3.905029855957535408e-08 8.802197310608200958e-08
6.125119999999999898e+00 3.897642104166485876e-08 8.845527153382530699e-08
6.164760000000000240e+00 3.902574317100899280e-08 8.882513525271711351e-08
6.204649999999999999e+00 3.912910986935428789e-08 8.919096864349956989e-08
6.244799999999999685e+00 3.937967210248747995e-08 8.982963901631151705e-08
6.285199999999999676e+00 3.955248292647233971e-08 9.010095269389172489e-08
6.325870000000000104e+00 3.963651723766659344e-08 9.019925597687369910e-08
6.366810000000000080e+00 3.986878537898352996e-08 9.077200336293659594e-08
6.408000000000000362e+00 3.998489594326630591e-08 9.106489816555981819e-08
6.449469999999999814e+00 4.007122996214398908e-08 9.138804990045444493e-08
6.491200000000000081e+00 4.030323713195055405e-08 9.188291060428539535e-08
6.533199999999999896e+00 4.052597873782532817e-08 9.225202584878463373e-08
6.575479999999999769e+00 4.078483250213070357e-08 9.276828834088805204e-08
6.618019999999999570e+00 4.103887019223275691e-08 9.327952898980856333e-08
6.660849999999999937e+00 4.128042046115780843e-08 9.381081916629199367e-08
6.703949999999999854e+00 4.156500256515017881e-08 9.450398684023119252e-08
6.747329999999999828e+00 4.170671640797557597e-08 9.462203125896252781e-08
6.790989999999999860e+00 4.153223745570243890e-08 9.461503232318450862e-08
6.834929999999999950e+00 4.147637995185382241e-08 9.503267385989203867e-08
6.879150000000000098e+00 4.155046825297056046e-08 9.541052101985621519e-08
6.923670000000000435e+00 4.153949662886984257e-08 9.587403914593650882e-08
6.968469999999999942e+00 4.170473815311594003e-08 9.641637163792121564e-08
7.013560000000000016e+00 4.188014349003776713e-08 9.694283974008838868e-08
7.058939999999999770e+00 4.206292157662519839e-08 9.741139091340381175e-08
7.104619999999999713e+00 4.235639743607567240e-08 9.795420834919498875e-08
7.150590000000000224e+00 4.242165508682709104e-08 9.802905823816624504e-08
7.196860000000000035e+00 4.235447852782116635e-08 9.789029914187233868e-08
7.243430000000000035e+00 4.240630810136649240e-08 9.802193870759193762e-08
7.290289999999999715e+00 4.255725150106499267e-08 9.835559481664391348e-08
7.337469999999999715e+00 4.274701939572435813e-08 9.892612000410700510e-08
7.384949999999999903e+00 4.290076889725625739e-08 9.937331647819069741e-08
7.432730000000000281e+00 4.308641687629818017e-08 9.977616517835345027e-08
7.480830000000000091e+00 4.339703420792488896e-08 1.005081533310663098e-07
7.529230000000000089e+00 4.353466889923113999e-08 1.006059643675329654e-07
7.577950000000000408e+00 4.357224773727484542e-08 1.004054851483773195e-07
7.626990000000000158e+00 4.385862681128258077e-08 1.008035004048459815e-07
7.676339999999999719e+00 4.392067224528555583e-08 1.008775632429270257e-07
7.726009999999999600e+00 4.399429594808254996e-08 1.011280165849519760e-07
7.775999999999999801e+00 4.428498314811750857e-08 1.017874884006324031e-07
7.826319999999999943e+00 4.439306266482739131e-08 1.023366738848187463e-07
7.876960000000000406e+00 4.456475186918922387e-08 1.027301005622752136e-07
7.927929999999999922e+00 4.484868714737384266e-08 1.031233371220325078e-07
7.979230000000000267e+00 4.509035655942797542e-08 1.036145352190060586e-07
8.030860000000000554e+00 4.530152051146976441e-08 1.039294286560455940e-07
8.082819999999999894e+00 4.555426136381362696e-08 1.044165460696526264e-07
8.135120000000000573e+00 4.583928480735374402e-08 1.050854006540175241e-07
8.187760000000000815e+00 4.613878175329218165e-08 1.057074356788733735e-07
8.240740000000000620e+00 4.635572273123837418e-08 1.062133455093119978e-07
8.294069999999999609e+00 4.640838649678454399e-08 1.065690164558937105e-07
8.347730000000000317e+00 4.657026515741307396e-08 1.070768423496452041e-07
8.401749999999999829e+00 4.686366661063269033e-08 1.076684574700868332e-07
8.456110000000000682e+00 4.707636718276062503e-08 1.081002610108380403e-07
8.510830000000000339e+00 4.731016651727967057e-08 1.085718497289613281e-07
8.565899999999999181e+00 4.759278603642383222e-08 1.092247559116200416e-07
8.621330000000000382e+00 4.785991710472259725e-08 1.097392675673254262e-07
8.677110000000000767e+00 4.813598747798523918e-08 1.101497348667911074e-07
8.733259999999999579e+00 4.840206337150047396e-08 1.105292777864259355e-07
8.789770000000000749e+00 4.861339837368992702e-08 1.108443912799630754e-07
8.846650000000000347e+00 4.888891081441585879e-08 1.114795562020754264e-07
8.903890000000000526e+00 4.917538594720311215e-08 1.121278259693600794e-07
8.961510000000000531e+00 4.934421744644097832e-08 1.122251414764200035e-07
9.019489999999999341e+00 4.954582569626718349e-08 1.124634960739608443e-07
9.077849999999999753e+00 4.976692172708302623e-08 1.128302642184730541e-07
9.136589999999999989e+00 5.004446255807189546e-08 1.133135067401675775e-07
9.195710000000000051e+00 4.991963261108567440e-08 1.136202279255148219e-07
9.255219999999999558e+00 4.983044521744698595e-08 1.138182265308037774e-07
9.315099999999999270e+00 5.011559020293603652e-08 1.144046927479848506e-07
9.375379999999999825e+00 5.038189963781883842e-08 1.150572668296528449e-07
9.436040000000000205e+00 5.071896563085825865e-08 1.158199974280182187e-07
9.497099999999999653e+00 5.101675019051590041e-08 1.165280725500718443e-07
9.558550000000000324e+00 5.134586315880939466e-08 1.173327176369272072e-07
9.620400000000000063e+00 5.159082885428607050e-08 1.176842352108765969e-07
9.682650000000000645e+00 5.178297718486310488e-08 1.180249506177054376e-07
9.745309999999999917e+00 5.198596024770031995e-08 1.187884485756337725e-07
9.808370000000000033e+00 5.225403826625039893e-08 1.193869454689832911e-07
9.871829999999999217e+00 5.254283275540888590e-08 1.199741487426608001e-07
9.935710000000000264e+00 5.279596325926670334e-08 1.206403031230235824e-07
1.000000000000000000e+01 5.302977420747912544e-08 1.211835815754524234e-07
1.006470999999999982e+01 5.335271273938741001e-08 1.219980220428057947e-07
1.012983000000000011e+01 5.354608424810490579e-08 1.219546891033185570e-07
1.019538000000000011e+01 5.364840592185892966e-08 1.212605495890571467e-07
1.026135000000000019e+01 5.392806717753415156e-08 1.213688101461802102e-07
1.032774999999999999e+01 5.416416497465920031e-08 1.216659244306599140e-07
1.039456999999999987e+01 5.440786233108698333e-08 1.222533616066895873e-07
1.046183000000000085e+01 5.469139152087287762e-08 1.227319178762117567e-07
1.052952999999999939e+01 5.498944244327455494e-08 1.230376864616705091e-07
1.059765999999999941e+01 5.490455248741027692e-08 1.235892815488137919e-07
1.066624000000000017e+01 5.500266732734988761e-08 1.236922656596592291e-07
1.073525000000000063e+01 5.479358187924617564e-08 1.229487436721589111e-07
1.080471999999999966e+01 5.444548493767801689e-08 1.224592682626252827e-07
1.087462999999999980e+01 5.452289661451291831e-08 1.222360248782030628e-07
1.094500000000000028e+01 5.457819735506518750e-08 1.223810849484024650e-07
1.101581999999999972e+01 5.493339691575715746e-08 1.231898468100043235e-07
1.108709999999999951e+01 5.529203896719461802e-08 1.240057338668417554e-07
1.115883999999999965e+01 5.560558903106046634e-08 1.246170058448551214e-07
1.123104999999999976e+01 5.590187403102571780e-08 1.250090034661139083e-07
1.130372000000000021e+01 5.609879044481061474e-08 1.254020948385915728e-07
1.137686000000000064e+01 5.626994871644959372e-08 1.258945664132992088e-07
1.145048000000000066e+01 5.642255797459310095e-08 1.262365277321926956e-07
1.152457000000000065e+01 5.649827434410732878e-08 1.264803047374464675e-07
1.159914000000000023e+01 5.675801838006074218e-08 1.270964144360913477e-07
1.167418999999999940e+01 5.716751442848861993e-08 1.280228505016532177e-07
1.174972999999999956e+01 5.738894892769491069e-08 1.284185537994333482e-07
1.182576000000000072e+01 5.759036498954477661e-08 1.286935101890575389e-07
1.190227999999999930e+01 5.774428806619634937e-08 1.293989724851450131e-07
